date_time,total_km
2010-01-07 23:00:00,9.467163022e-06
2010-01-10 23:00:00,1.01139878248e-05
2010-01-13 23:00:00,9.7398436071e-06
2010-01-16 23:00:00,9.8675386741e-06
2010-01-19 23:00:00,8.8786058351e-06
2010-01-22 23:00:00,9.0268915276e-06
2010-01-25 23:00:00,1.01213484382e-05
2010-01-28 23:00:00,1.13406705674e-05
2010-01-31 23:00:00,1.27343231681e-05
2010-02-03 23:00:00,1.25624957191e-05
2010-02-06 23:00:00,1.518648707e-05
2010-02-09 23:00:00,1.82535118009e-05
2010-02-12 23:00:00,1.73320276004e-05
2010-02-15 23:00:00,1.83410997852e-05
2010-02-18 23:00:00,2.27060833146e-05
2010-02-21 23:00:00,2.57771330357e-05
2010-02-24 23:00:00,2.93352419612e-05
2010-02-27 23:00:00,3.12106253506e-05
2010-03-02 23:00:00,3.28936020238e-05
2010-03-05 23:00:00,3.28130462638e-05
2010-03-08 23:00:00,3.2758596059e-05
2010-03-11 23:00:00,3.28890424018e-05
2010-03-15 00:00:00,3.15337813713e-05
2010-03-18 00:00:00,2.99249149748e-05
2010-03-21 00:00:00,3.18555546506e-05
2010-03-24 00:00:00,3.76755730451e-05
2010-03-27 00:00:00,4.24112555012e-05
2010-03-30 00:00:00,4.27935475017e-05
2010-04-02 00:00:00,4.61956912802e-05
2010-04-05 00:00:00,4.86871855914e-05
2010-04-08 00:00:00,5.06921497922e-05
2010-04-11 00:00:00,5.54026735154e-05
2010-04-14 00:00:00,6.63305456308e-05
2010-04-17 00:00:00,7.56770855822e-05
2010-04-20 00:00:00,8.13544254126e-05
2010-04-23 00:00:00,8.77124635859e-05
2010-04-26 00:00:00,8.80559516131e-05
2010-04-29 00:00:00,9.4276788303e-05
2010-05-02 00:00:00,9.43582017644e-05
2010-05-05 00:00:00,9.16474388369e-05
2010-05-08 00:00:00,9.10532490723e-05
2010-05-11 00:00:00,8.98793304881e-05
2010-05-14 00:00:00,8.43131993614e-05
2010-05-17 00:00:00,7.5279642287e-05
2010-05-20 00:00:00,8.44956954639e-05
2010-05-23 00:00:00,9.91217248497e-05
2010-05-26 00:00:00,0.0001140503915308
2010-05-29 00:00:00,0.0001209726118583
2010-06-01 00:00:00,0.00012975954946
2010-06-04 00:00:00,0.0001273558193348
2010-06-07 00:00:00,0.0001177838011399
2010-06-10 00:00:00,0.0001246289519075
2010-06-13 00:00:00,0.00013044555393
2010-06-16 00:00:00,0.0001383942676078
2010-06-19 00:00:00,0.0001338025276842
2010-06-22 00:00:00,0.0001391101925277
2010-06-25 00:00:00,0.0001448111032428
2010-06-28 00:00:00,0.0001510045812381
2010-07-01 00:00:00,0.0001604021362052
2010-07-04 00:00:00,0.0001722531531414
2010-07-07 00:00:00,0.0001836171399137
2010-07-10 00:00:00,0.0001890967054239
2010-07-13 00:00:00,0.0002593523509672
2010-07-16 00:00:00,0.0008051616205265
2010-07-19 00:00:00,0.0019491891674936
2010-07-22 00:00:00,0.0021401113334004
