"x","y"
"1571788800000","98750515.78246196"
"1571875200000","101132725.05483386"
"1571961600000","100207780.9461226"
"1572048000000","98845219.4631884"
"1572134400000","99339894.79783745"
"1572220800000","97034324.1202961"
"1572307200000","95375220.79260805"
"1572393600000","92695122.52125244"
"1572480000000","90131834.47920884"
"1572566400000","90034604.8843014"
"1572652800000","89256768.12504175"
"1572739200000","88673390.55559704"
"1572825600000","90909671.23846845"
"1572912000000","90715212.04865356"
"1572998400000","91784737.59263554"
"1573084800000","91590278.40282063"
"1573171200000","91861270.49919164"
"1573257600000","90783752.60638511"
"1573344000000","90762607.51459406"
"1573430400000","92339819.41656041"
"1573516800000","93145448.40611659"
"1573603200000","91339031.07613802"
"1573689600000","90699368.8850489"
"1573776000000","92859958.35645998"
"1573862400000","95569879.3201699"
"1573948800000","95931202.1153312"
"1574035200000","94847233.7298473"
"1574121600000","93853596.04315364"
"1574208000000","94937564.42863761"
"1574294400000","95569879.32016993"
"1574380800000","92753027.64806043"
"1574467200000","90641806.33248492"
"1574553600000","93211181.34439723"
"1574640000000","91369153.81570049"
"1574726400000","90238982.02037306"
"1574812800000","88200108.30866565"
"1574899200000","88179081.23171328"
"1574985600000","90747073.15831277"
"1575072000000","91115589.19144297"
"1575158400000","86785525.80216311"
"1575244800000","87522557.8684235"
"1575331200000","89365138.03407453"
"1575417600000","92681782.3322463"
"1575504000000","95261394.56415771"
"1575590400000","93585274.42810582"
"1575676800000","94315177.49841559"
"1575763200000","96880815.3547741"
"1575849600000","97608664.8112032"
"1575936000000","97783740.21793698"
"1576022400000","96761138.51699767"
"1576108800000","93446264.2163582"
"1576195200000","92267470.5552231"
"1576281600000","92907581.84747936"
"1576368000000","92541803.96619008"
"1576454400000","90347136.67845435"
"1576540800000","91170136.91135524"
"1576627200000","90530025.61909899"
"1576713600000","90712914.55974361"
"1576800000000","92925415.73759647"
"1576886400000","93370681.81483619"
"1576972800000","95746472.56319739"
"1577059200000","99947585.93998158"
"1577145600000","98740227.53509034"
"1577232000000","97340808.4746371"
"1577318400000","96857362.73655997"
"1577404800000","97839066.68251054"
"1577491200000","96827572.57207108"
"1577577600000","94344814.30099228"
"1577664000000","93057458.16043292"
"1577750400000","95172400.39135186"
"1577836800000","97011480.59215093"
"1577923200000","101344004.24026032"
"1578009600000","99804501.46535628"
"1578096000000","103031751.96983847"
"1578182400000","105793194.8249284"
"1578268800000","107512955.57361662"
"1578355200000","105477457.1533582"
"1578441600000","109390648.92246725"
"1578528000000","107202820.50024447"
"1578614400000","108770686.24796292"
"1578700800000","106810854.06331491"
"1578787200000","106320896.0171529"
"1578873600000","105144996.70636418"
"1578960000000","105928929.58022337"
"1579046400000","102912016.52961273"
"1579132800000","104842225.0709245"
"1579219200000","106142030.57585935"
"1579305600000","108225768.9546535"
"1579392000000","106104409.83457537"
"1579478400000","107047760.00503181"
"1579564800000","108984910.82487474"
"1579651200000","110810185.4784228"
"1579737600000","111334854.9172411"
"1579824000000","111334854.9172411"
"1579910400000","110600317.70289552"
"1579996800000","113958202.11133252"
"1580083200000","113223664.89698695"
"1580169600000","110810185.47842284"
"1580256000000","110086945.93868312"
"1580342400000","111290378.26366599"
"1580428800000","111739680.95495513"
"1580515200000","111605536.94938128"
"1580601600000","110981010.23884857"
"1580688000000","111681439.23054685"
"1580774400000","114400102.61393997"
"1580860800000","113566280.34913369"
"1580947200000","113456448.35653296"
"1581033600000","111149976.5119181"
"1581120000000","110600816.54891454"
"1581206400000","109282832.63770597"
"1581292800000","110381152.5637131"
"1581379200000","107525520.75609468"
"1581465600000","109340676.42941181"
"1581552000000","107554857.49007323"
"1581638400000","108294601.66974209"
"1581724800000","107932589.6585501"
"1581811200000","108343410.57122579"
"1581897600000","107216583.58749151"
"1581984000000","111150618.92552452"
"1582070400000","111398345.74036539"
"1582156800000","111287941.03695582"
"1582243200000","109631870.4858106"
"1582329600000","111729559.85059443"
"1582416000000","112391988.07105258"
"1582502400000","112391988.07105258"
"1582588800000","110625512.81649771"
"1582675200000","109924843.84006758"
"1582761600000","109315034.29177244"
"1582848000000","111571073.16195467"
"1582934400000","111945558.2039981"
"1583020800000","110892855.15019853"
"1583107200000","114681812.94945897"
"1583193600000","115501740.88073812"
"1583280000000","116468614.68224482"
"1583366400000","119877988.67199898"
"1583452800000","121637665.56993654"
"1583539200000","121307726.1515731"
"1583625600000","123287362.66175297"
"1583712000000","121197746.3454521"
"1583798400000","121936055.96162653"
"1583884800000","120625751.5382284"
"1583971200000","116247579.24678104"
"1584057600000","116070927.61330417"
"1584144000000","113717813.26408875"
"1584230400000","111497389.43702032"
"1584316800000","108109035.40066282"
"1584403200000","104972190.00322092"
"1584489600000","103914239.60005292"
"1584576000000","101680788.74892056"
"1584662400000","96508586.77787724"
"1584748800000","94627786.06113422"
"1584835200000","94157585.8819485"
"1584921600000","95097986.24032"
"1585008000000","94275135.92674494"
"1585094400000","95333086.32991293"
"1585180800000","94392685.9715414"
"1585267200000","97885234.22953887"
"1585353600000","100386175.75583847"
"1585440000000","99147879.97675769"
"1585526400000","99137723.3700347"
"1585612800000","100495620.1085714"
"1585699200000","100688107.93123953"
"1585785600000","104989801.5557352"
"1585872000000","104035696.25028677"
"1585958400000","101763311.62183794"
"1586044800000","103936896.91861513"
"1586131200000","106308080.87873556"
"1586217600000","104430893.57697354"
"1586304000000","105320087.56201868"
"1586390400000","104926817.65001225"
"1586476800000","105903459.59372954"
"1586563200000","109895383.97791182"
"1586649600000","110999326.63680866"
"1586736000000","109697883.67537554"
"1586822400000","114921002.25323083"
"1586908800000","115878648.73909882"
"1586995200000","118816054.72042182"
"1587081600000","118816054.72042182"
"1587168000000","115054068.81898367"
"1587254400000","114949569.21061039"
"1587340800000","114845069.6022371"
"1587427200000","113800073.51850425"
"1587513600000","112777076.67665625"
"1587600000000","109962852.46635239"
"1587686400000","109962750.6690721"
"1587772800000","113010797.98649311"
"1587859200000","111912718.68985197"
"1587945600000","111554966.88776182"
"1588032000000","110710037.98755725"
"1588118400000","111629896.64663467"
"1588204800000","113216514.46699294"
"1588291200000","112423205.5568138"
"1588377600000","112083216.0238798"
"1588464000000","113443174.15561537"
"1588550400000","116956399.32926582"
"1588636800000","118883006.68255797"
"1588723200000","119472293.06066513"
"1588809600000","120652100.72918227"
"1588896000000","122164632.51837371"
"1588982400000","121853507.63821316"
"1589068800000","120634706.08752501"
"1589155200000","121037811.50245687"
"1589241600000","121087434.47597243"
"1589328000000","119743045.08479343"
"1589414400000","115740173.47259887"
"1589500800000","111966037.38110104"
"1589587200000","110593624.25692005"
"1589673600000","109449946.65343575"
"1589760000000","101672938.94974338"
"1589846400000","98356273.89963923"
"1589932800000","94810873.32883827"
"1590019200000","93625665.17860004"
"1590105600000","94670543.88510202"
"1590192000000","92307330.90926422"
"1590278400000","90689768.70048098"
"1590364800000","91494525.79228362"
"1590451200000","90293241.95835567"
"1590537600000","90471236.69303174"
"1590624000000","92882000.95950742"
"1590710400000","92882000.95950742"
"1590796800000","94602038.0143131"
"1590883200000","98579623.70355119"
"1590969600000","102234702.44501321"
"1591056000000","103202223.28834145"
"1591142400000","103739734.86796822"
"1591228800000","103847237.18389349"
